motif,score,directors,liked_freq
revenge flick,6.152,3,3
2046,6.152,3,3
the union and,5.811,2,2
so badly but,5.811,2,2
knife fight,5.811,2,2
poster of this,5.811,2,2
than edward,5.811,2,2
in his latest,5.811,3,2
second half and,5.811,2,2
union and the,5.811,2,2
found myself tearing,5.811,2,2
something to lighten,5.811,2,2
myself tearing,5.811,2,2
character straight,5.811,2,2
movie made up,5.811,2,2
haha they,5.811,2,2
myself tearing up,5.811,2,2
me none,5.811,2,2
beautifully utilizes,5.811,2,2
watch further,5.811,2,2
laughable as,5.811,2,2
the water on,5.811,2,2
bitches this review,5.811,2,2
the unexpected and,5.811,3,2
spookiness,5.811,2,2
living inside you,5.811,2,2
thrillers to,5.811,2,2
reaches those,5.811,2,2
revenge crime drama,5.811,2,2
kin ming,5.811,2,2
your actions and,5.811,2,2
self critique,5.811,2,2
an actual plot,5.811,2,2
shadows the greatest,5.811,2,2
further the,5.811,2,2
women cope,5.811,3,2
but that's sort,5.811,2,2
who dislikes this,5.811,3,2
movie or maybe,5.811,3,2
sort of where,5.811,2,2
my gun,5.811,2,2
rgv,5.811,2,2
the watch further,5.811,2,2
dislikes this,5.811,3,2
gun what's the,5.811,3,2
truth bitch,5.811,2,2
rivers of blood,5.811,3,2
series of murders,5.811,2,2
driven insane and,5.811,2,2
and don't say,5.811,2,2
at you with,5.811,2,2
moral and existential,5.811,2,2
saved the best,5.811,2,2
become tools,5.811,2,2
bananas this,5.811,2,2
pink film,5.811,2,2
it so badly,5.811,2,2
truth not single,5.811,2,2
believes is an,5.811,2,2
totoro it,5.811,2,2
triangle but the,5.811,3,2
she is trapped,5.811,2,2
the nike,5.811,2,2
finding life,5.811,2,2
just that and,5.811,3,2
class based,5.811,2,2
serial killer films,5.811,2,2
thrills to,5.811,2,2
human woman,5.811,2,2
into the films,5.811,2,2
feminist but,5.811,2,2
down never,5.811,2,2
with right now,5.811,2,2
killer movie,5.811,2,2
killer films,5.811,2,2
people who define,5.811,2,2
who define,5.811,2,2
way too stoned,5.811,2,2
fiction action mystery,5.811,2,2
in fifty,5.811,2,2
film lover,5.811,2,2
by ninja,5.811,2,2
ride on his,5.811,2,2
sound of your,5.811,2,2
cinebros,5.811,3,2
the hand holding,5.811,2,2
my boobs,5.811,3,2
an erection,5.811,2,2
planet called,5.811,2,2
urban wasteland,5.811,3,2
aliens are,5.811,2,2
in city that,5.811,3,2
never really have,5.811,2,2
questions in,5.811,2,2
galvanic and,5.811,3,2
gun what's,5.811,3,2
the truth bitch,5.811,2,2
final 15 20,5.811,3,2
but it's shot,5.811,2,2
about the three,5.811,2,2
tag urself i'm,5.811,2,2
urself i'm the,5.811,2,2
urself i'm,5.811,2,2
head south,5.811,2,2
psychotic killer,5.811,2,2
service to the,5.811,2,2
korea china,5.811,3,2
korean revenge,5.811,2,2
physics are,5.811,2,2
revenge jam,5.811,2,2
character makes,5.811,2,2
most fucked up,5.811,2,2
something truly extraordinary,5.811,3,2
again will only,5.811,2,2
korea china and,5.811,3,2
lau kin ming,5.811,2,2
solid as rock,5.811,2,2
lau kin,5.811,2,2
hell did just,5.811,2,2
computer hacker,5.811,3,2
we can choose,5.811,2,2
and turns to,5.811,2,2
earth science fiction,5.811,3,2
lacks lot,5.811,3,2
eyes to this,5.811,3,2
satoshi kon work,5.811,3,2
from revenge,5.811,2,2
into 90 minute,5.811,3,2
wish someone would,5.811,2,2
pew pew pew,5.811,2,2
fails to provide,5.811,2,2
interesting premise for,5.811,3,2
years desperate,5.811,3,2
really just had,5.811,2,2
samurai swords,5.811,2,2
disgusting things,5.811,2,2
itself subjectively,5.811,2,2
most fucked,5.811,2,2
anyone who dislikes,5.811,3,2
cop up,5.811,2,2
piece of poetry,5.811,2,2
bloody revenge,5.054,3,3
set things right,5.054,3,3
revenge crime,5.054,3,3
pew pew,5.054,3,3
the most open,4.713,3,2
preconceived notions of,4.713,2,2
crime horror action,4.713,3,2
doing it the,4.713,3,2
matlab,4.713,2,2
and lore,4.713,2,2
lindberg,4.713,2,2
the people how,4.713,2,2
guy she,4.713,2,2
endangers,4.713,2,2
evil spirit,4.713,2,2
solid minutes,4.713,2,2
and andy lau,4.713,3,2
revenge to,4.713,2,2
that's sort,4.713,2,2
that's sort of,4.713,2,2
is everything could,4.713,2,2
always about the,4.713,2,2
could fix him,4.713,2,2
cop films,4.713,2,2
it's purely,4.713,3,2
don't say this,4.713,2,2
are shattered when,4.713,2,2
from the surface,4.713,2,2
love triangle but,4.713,3,2
mentally ill people,4.713,2,2
ill people,4.713,2,2
and trauma in,4.713,2,2
touches her,4.713,3,2
male sex,4.713,2,2
my fault for,4.713,2,2
is fan of,4.713,3,2
through all that,4.713,2,2
of collateral,4.713,2,2
isn't his,4.713,2,2
hand holding,4.713,2,2
film 18,4.713,3,2
has to keep,4.713,2,2
available is,4.713,2,2
over the moon,4.713,2,2
movie find,4.713,2,2
goodfellas and,4.713,2,2
family and community,4.713,2,2
of coke and,4.713,2,2
diogo,4.713,2,2
but really don't,4.713,2,2
to catch them,4.713,2,2
smugglers,4.713,2,2
of collateral damage,4.713,2,2
risk my,4.713,3,2
going over to,4.713,2,2
badass in,4.713,2,2
sequence of this,4.713,2,2
they spend time,4.713,2,2
jam that,4.713,3,2
not seeing this,4.713,3,2
as rock,4.713,2,2
finest the,4.713,2,2
happened this review,4.713,2,2
spend time together,4.713,2,2
recommend reading,4.713,3,2
city find,4.713,2,2
for an eye,4.713,2,2
eye for an,4.713,2,2
offices and,4.713,2,2
too stoned,4.713,2,2
at this thing,4.713,2,2
such attention to,4.713,2,2
this is bloody,4.713,2,2
however am,4.713,3,2
with such attention,4.713,2,2
vigilantes,4.713,3,2
me because of,4.713,3,2
important thing in,4.713,2,2
inner conflict and,4.713,3,2
myself over,4.713,2,2
front door and,4.713,2,2
and death are,4.713,2,2
to do much,4.713,2,2
this one he's,4.713,2,2
kung fu and,4.713,2,2
unconcerned with,4.713,3,2
set in space,4.713,2,2
old girl in,4.713,2,2
all presented in,4.713,2,2
driven insane,4.713,2,2
unconcerned,4.713,3,2
small joys,4.713,2,2
of revenge against,4.713,2,2
fu and,4.713,2,2
is something truly,4.713,3,2
who dislikes,4.713,3,2
skarsgard,4.713,2,2
separate lives,4.713,2,2
believe ve,4.713,2,2
didn't and,4.713,2,2
and an aspiring,4.713,3,2
15 20 minutes,4.713,3,2
colourless,4.713,2,2
movie is for,4.713,3,2
bitches this,4.713,2,2
as the mysterious,4.713,2,2
atmosphere and the,4.713,2,2
infernal affairs,4.713,2,2
lives this review,4.713,2,2
remake to,4.713,3,2
most open,4.713,3,2
one could argue,4.713,2,2
galvanic,4.713,3,2
kon work,4.713,3,2
with the structure,4.713,3,2
in way most,4.713,3,2
whitey,4.713,2,2
got way,4.713,2,2
parents and his,4.713,2,2
on balcony,4.713,2,2
wife from,4.713,2,2
and dives into,4.713,2,2
much because it's,4.713,2,2
pinku,4.713,2,2
what led to,4.713,2,2
that what he,4.713,2,2
life imitating,4.713,2,2
love exposure,4.713,2,2
best animated film,4.543,3,3
an ant,4.543,3,3
set things,4.543,3,3
crime drama action,4.416,6,5
sik,4.215,5,5
scorpion,4.215,4,5
to find its,4.206,3,3
dish best,4.206,3,3
dish best served,4.206,3,3
revenge is dish,4.206,3,3
ride on,4.206,3,3
action thriller drama,4.206,3,3
to revenge,4.206,3,3
young man named,4.206,3,3
anurag,4.206,2,3
asami,4.206,3,3
is dish best,4.206,3,3
go that,4.206,3,3
of murders,4.206,3,3
much im,4.202,2,2
also do,4.202,3,2
when character,4.202,2,2
must journey,4.202,2,2
pacing but,4.202,2,2
opportune,4.202,2,2
in my dorm,4.202,2,2
mainstream entertainment,4.202,2,2
clue why,4.202,2,2
half hours long,4.202,2,2
everything could ever,4.202,2,2
patters,4.202,2,2
the truth mean,4.202,2,2
amitabh bachchan,4.202,2,2
the ant,4.202,2,2
in my youth,4.202,3,2
showed them,4.202,2,2
revenge movie,4.202,2,2
truth mean,4.202,2,2
be missing,4.202,2,2
the older sister,4.202,2,2
completely emotionally,4.202,2,2
waterproof,4.202,2,2
not prosecute her,4.202,2,2
emotional investment,4.202,2,2
and disorienting,4.202,2,2
assassin is,4.202,3,2
door with,4.202,2,2
her she caught,4.202,2,2
don't trust anyone,4.202,3,2
tarantino is,4.202,2,2
muck and,4.202,2,2
steven yeun,4.202,3,2
yeun,4.202,3,2
chaste,4.202,2,2
being homeless,4.202,3,2
the sea but,4.202,2,2
with curious,4.202,2,2
trust anyone who,4.202,3,2
sufficient to,4.202,3,2
going on that,4.202,3,2
the street from,4.202,3,2
just looked,4.202,2,2
until there's,4.202,2,2
at once it's,4.202,2,2
prosecute her she,4.202,2,2
watch anime,4.202,2,2
triangle but,4.202,3,2
snowblood,4.202,2,2
in china's,4.202,2,2
suspense thriller,4.202,2,2
involved in an,4.202,2,2
life changes when,4.202,2,2
who are different,4.202,2,2
ll kill you,4.202,2,2
house she,4.202,2,2
must one,4.202,2,2
will ever do,4.202,2,2
are shattered,4.202,2,2
female sexual,4.202,3,2
path of revenge,4.202,3,2
one he's,4.202,2,2
is handled with,4.202,2,2
nishi,4.202,2,2
short review,4.202,2,2
share lot,4.202,2,2
story arcs,4.202,3,2
honesty that,4.202,2,2
serotonin boost,4.202,2,2
was an actual,4.202,2,2
when they take,4.202,2,2
one action,4.202,2,2
badly but,4.202,2,2
in her mid,4.202,2,2
people off,4.202,2,2
this dark and,4.202,2,2
to set things,4.202,2,2
view this as,4.202,3,2
is fan,4.202,3,2
i'll start,4.202,2,2
exploitation film,4.202,3,2
in what he,4.202,2,2
there the most,4.202,3,2
mild spoilers,4.202,2,2
coke and,4.202,2,2
an interesting premise,4.202,3,2
sea but,4.202,2,2
of trust and,4.202,2,2
nature than,4.202,3,2
be too late,4.202,2,2
isn my,4.202,2,2
her mid,4.202,2,2
up through the,4.202,2,2
in much the,4.202,2,2
crazy you,4.202,3,2
annecy,4.202,2,2
cry if,4.202,3,2
by kevin,4.202,2,2
hole the,4.202,2,2
tag urself,4.202,2,2
to keep this,4.202,2,2
has trouble,4.202,2,2
my life not,4.202,2,2
imagine spending,4.202,2,2
mole in,4.202,2,2
and life has,4.202,2,2
to drive to,4.202,2,2
monetize,4.202,2,2
tears left,4.202,2,2
earth science,4.202,3,2
in if you,4.202,2,2
mid life crisis,4.202,2,2
poured out,4.202,2,2
gang crime,4.202,2,2
revenge by,4.202,2,2
movies feel like,4.202,2,2
kevin spacey,4.202,2,2
her mother but,4.202,2,2
my ass to,4.202,3,2
up at my,4.202,2,2
set myself,4.202,2,2
with their bare,4.202,2,2
15 20,4.202,3,2
know what think,4.202,2,2
black magic,4.202,2,2
taki,4.202,3,2
who framed,4.202,2,2
this one like,4.202,2,2
to lighten the,4.202,2,2
my dorm room,4.202,2,2
and permanently,4.202,2,2
thriller by,4.202,3,2
is attacked by,4.202,2,2
lighten the mood,4.202,2,2
crime action drama,4.048,5,5
sion sono,4.01,2,4
what led,3.955,3,3
is dish,3.955,3,3
is bloody,3.955,4,3
truly extraordinary,3.955,4,3
best served,3.955,3,3
most unsettling,3.955,4,3
except it's,3.955,4,3
to inflict,3.865,2,2
the department,3.865,3,2
lighten the,3.865,2,2
subtitles so,3.865,2,2
kyun,3.865,2,2
my dorm,3.865,2,2
that promises,3.865,2,2
the final 15,3.865,3,2
to lighten,3.865,2,2
absolutely nothing about,3.865,3,2
this love story,3.865,3,2
is morally,3.865,2,2
to like it,3.865,2,2
each other romance,3.865,2,2
romance animation drama,3.865,2,2
than most other,3.865,2,2
is not without,3.865,2,2
course of action,3.865,2,2
who loses his,3.865,2,2
opening sequence of,3.865,2,2
us but the,3.865,2,2
solid as,3.865,2,2
their bare,3.865,2,2
struggle as,3.865,2,2
the plot twists,3.865,2,2
most disgusting,3.865,2,2
but what do,3.865,2,2
slithering,3.865,2,2
her man,3.865,2,2
personal when,3.865,2,2
partner's,3.865,2,2
truth after,3.865,3,2
catch them,3.865,2,2
of the sex,3.865,2,2
makes good,3.865,2,2
time tony,3.865,3,2
guess have,3.865,2,2
and ugliness,3.865,2,2
moment of it,3.865,2,2
she could have,3.865,3,2
drama animation fantasy,3.865,2,2
premise for,3.865,3,2
into 90,3.865,3,2
since they're,3.865,3,2
no heroes,3.865,2,2
mamoru oshii,3.865,2,2
mid life,3.865,2,2
paranoid as,3.865,4,2
thriller it's,3.865,2,2
with right,3.865,2,2
ho is,3.865,2,2
nike,3.865,2,2
here with me,3.865,2,2
fault for,3.865,2,2
kdrama that,3.865,2,2
interruptions,3.865,2,2
pretty heavy,3.865,2,2
such attention,3.865,2,2
he challenges,3.865,3,2
his debt,3.865,2,2
action at,3.865,2,2
their bare hands,3.865,2,2
final 15,3.865,3,2
is deep and,3.865,2,2
yet completely,3.865,2,2
his life changes,3.865,2,2
space travel,3.865,2,2
street from,3.865,3,2
prison with,3.865,2,2
unnecessary and,3.865,4,2
scare the,3.865,2,2
drug induced,3.865,2,2
desperate measures,3.865,2,2
out on some,3.865,2,2
krzysztof kieslowski,3.865,2,2
underworld in,3.865,2,2
anyway so,3.865,2,2
andy lau,3.865,3,2
and intellectually,3.865,2,2
with the animation,3.865,2,2
are they going,3.865,2,2
it cause,3.865,2,2
despite taking,3.865,2,2
she caught me,3.865,2,2
drama romance animation,3.865,2,2
and reverence,3.865,2,2
is incapable of,3.865,3,2
prosecute her,3.865,2,2
came here for,3.865,2,2
it's stupid,3.865,2,2
's novel,3.865,2,2
ready to say,3.865,2,2
something called,3.865,2,2
scenes where the,3.865,2,2
amitabh,3.865,2,2
is incapable,3.865,3,2
with me because,3.865,2,2
more traditionally,3.865,2,2
on ordinary people,3.865,2,2
how are they,3.865,3,2
to thoroughly,3.865,3,2
that action,3.865,2,2
from wealthy,3.865,2,2
well she,3.865,2,2
kashyap,3.865,2,2
anurag kashyap,3.865,2,2
at the brink,3.865,2,2
they going to,3.865,2,2
always about,3.865,2,2
from girl,3.865,2,2
derided,3.865,3,2
it sure is,3.865,2,2
study as,3.865,2,2
killed his father,3.865,2,2
they going,3.865,2,2
bachchan,3.865,2,2
focus to the,3.865,3,2
and sadistic,3.865,2,2
animated film of,3.865,2,2
she should be,3.865,2,2
allowed to do,3.865,2,2
actual plot,3.865,2,2
believes is,3.865,2,2
so he decides,3.865,2,2
story with no,3.865,2,2
is unquestionably,3.865,2,2
time in our,3.865,2,2
makoto,3.796,3,7
totoro,3.78,3,5
seo,3.754,4,3
they cross,3.754,3,3
reaction to the,3.754,4,3
what it all,3.754,3,3
revenge against the,3.754,3,3
but just can't,3.754,3,3
tony leung,3.668,5,5
structure of this,3.614,3,2
amer,3.614,2,2
unless you're,3.614,2,2
acts of violence,3.614,2,2
preconceived notions,3.614,2,2
seaside village,3.614,2,2
pathways,3.614,3,2
subjectively,3.614,2,2
cut so,3.614,2,2
do it on,3.614,2,2
so i'd,3.614,2,2
fight sequence,3.614,2,2
and dives,3.614,2,2
of nudity,3.614,3,2
not to die,3.614,2,2
the most unsettling,3.614,2,2
know these people,3.614,3,2
already established,3.614,2,2
other romance,3.614,2,2
drama action thriller,3.614,2,2
enough to not,3.614,2,2
is always an,3.614,3,2
fire on,3.614,2,2
against time to,3.614,3,2
while becoming,3.614,2,2
do that this,3.614,2,2
more genuine,3.614,3,2
watched both,3.614,2,2
man walks,3.614,2,2
gangster and,3.614,2,2
enriched by,3.614,2,2
whole theater,3.614,2,2
know how this,3.614,2,2
flick that,3.614,2,2
handed and,3.614,3,2
dorm room,3.614,2,2
you want the,3.614,2,2
hand to hand,3.614,2,2
could have used,3.614,2,2
of gangsters,3.614,2,2
hammered,3.614,2,2
the stupidity of,3.614,2,2
the beautifully,3.614,2,2
the stupidity,3.614,2,2
goes on it,3.614,2,2
him crime drama,3.614,3,2
jump cuts,3.614,2,2
squidward,3.614,2,2
from being the,3.614,2,2
arrives on the,3.614,2,2
what's the difference,3.614,3,2
takashi miike,3.614,2,2
for example but,3.614,2,2
was low,3.614,3,2
is shame because,3.614,3,2
of cocaine,3.614,2,2
clear up,3.614,3,2
ugliness and,3.614,2,2
intellectually stimulating,3.614,2,2
am never,3.614,2,2
not prosecute,3.614,2,2
and andy,3.614,3,2
murder and the,3.614,2,2
do not prosecute,3.614,2,2
erection,3.614,2,2
continues on,3.614,2,2
to stuff,3.614,2,2
execution and,3.614,2,2
earned and,3.614,2,2
an acquaintance,3.614,2,2
rivers of,3.614,3,2
your actions,3.614,2,2
vishal,3.614,2,2
bit to get,3.614,3,2
if only the,3.614,3,2
don't eat,3.614,3,2
boar,3.614,2,2
really knows how,3.614,2,2
for character,3.614,2,2
anti social,3.614,2,2
seok,3.614,2,2
the would be,3.614,2,2
memories of murder,3.614,2,2
you can put,3.614,2,2
de lune,3.614,2,2
salvador dali,3.614,2,2
good at the,3.614,2,2
thriller horror drama,3.614,2,2
to undergo,3.614,2,2
in living,3.614,2,2
moment to moment,3.614,3,2
to alter,3.614,2,2
be great if,3.614,3,2
way most,3.614,3,2
imagined that,3.614,3,2
penises,3.614,2,2
young boy's,3.614,3,2
paprika,3.614,3,2
the weapon,3.614,3,2
the asshole,3.614,2,2
be manipulated,3.614,2,2
shoves,3.614,2,2
and how well,3.614,2,2
which suppose,3.614,2,2
changes when he,3.614,2,2
neighbor totoro,3.614,2,2
living inside,3.614,2,2
resurfaces,3.614,2,2
engaging manner,3.614,2,2
regardless this,3.614,2,2
his parents and,3.614,2,2
up finding,3.614,2,2
entire life this,3.614,2,2
uncle who,3.614,4,2
these stars,3.614,3,2
the borders of,3.614,2,2
her existence,3.614,2,2
contemplated,3.614,2,2
was gay and,3.614,2,2
heaven on,3.614,2,2
all presented,3.614,2,2
way forward,3.614,2,2
rote,3.587,3,3
not talk,3.587,3,3
that's just the,3.587,3,3
find its,3.587,3,3
mystery crime thriller,3.587,3,3
pew,3.587,3,3
from the police,3.587,3,3
wasn't that,3.587,4,3
any man,3.587,4,3
action this review,3.587,4,3
is playing in,3.587,3,3
fix him,3.568,6,5
revenge against,3.477,5,5
sion,3.463,2,4
last forever,3.444,4,3
just enough to,3.444,3,3
satoshi,3.444,4,3
revenge film,3.444,3,3
for last,3.444,3,3
tarantino's,3.444,3,3
threaded,3.444,3,3
of cash,3.444,3,3
hacker,3.444,4,3
lighten,3.413,2,2
repress,3.413,2,2
movie is and,3.413,3,2
who each,3.413,2,2
life falls,3.413,2,2
satoshi kon,3.413,3,2
very weird,3.413,3,2
shogun,3.413,4,2
calledthe,3.413,2,2
on popular,3.413,2,2
borders of,3.413,2,2
when first heard,3.413,3,2
every ten,3.413,2,2
and exploitative,3.413,2,2
hospital in,3.413,2,2
this heavy,3.413,3,2
the heroin,3.413,2,2
the most charming,3.413,2,2
to cool,3.413,2,2
front door,3.413,2,2
is that as,3.413,3,2
ends up as,3.413,2,2
my reaction,3.413,2,2
became aware of,3.413,2,2
caught me slipping,3.413,2,2
memories can,3.413,3,2
bombers,3.413,3,2
of films and,3.413,3,2
and swear,3.413,3,2
is at stake,3.413,2,2
give myself,3.413,3,2
became aware,3.413,2,2
me slipping,3.413,2,2
texting,3.413,2,2
cormac,3.413,2,2
my fault,3.413,2,2
should tell,3.413,2,2
and i'll say,3.413,2,2
financed,3.413,2,2
she caught,3.413,2,2
up his own,3.413,2,2
upset when,3.413,2,2
conspiracy thriller,3.413,2,2
wealthy and,3.413,2,2
society are,3.413,2,2
has ended,3.413,2,2
notions of what,3.413,2,2
with the guy,3.413,2,2
think he is,3.413,2,2
yakuza movies,3.413,2,2
not talk about,3.413,2,2
deceiving,3.413,2,2
the actresses,3.413,2,2
mechs,3.413,2,2
as gangster,3.413,3,2
white suit,3.413,2,2
or maybe it's,3.413,3,2
while as,3.413,2,2
of brain,3.413,2,2
world no,3.413,2,2
young girl and,3.413,2,2
finds work,3.413,2,2
sadism,3.413,2,2
you inside,3.413,2,2
as they spend,3.413,2,2
then one day,3.413,2,2
mystery surrounding,3.413,2,2
going to tell,3.413,2,2
to say for,3.413,2,2
got lost,3.413,2,2
leash,3.413,2,2
deniro,3.413,2,2
todd phillips,3.413,3,2
so engaging,3.413,2,2
little longer,3.413,2,2
self pitying,3.413,3,2
cop is,3.413,4,2
the film equivalent,3.413,2,2
film equivalent of,3.413,2,2
before turning,3.413,2,2
interesting premise,3.413,3,2
history it is,3.413,2,2
getting you,3.413,2,2
and acceptance,3.413,2,2
fixations,3.413,2,2
is an actual,3.413,2,2
crimes are,3.413,2,2
chungking,3.413,2,2
chungking express,3.413,2,2
every single shot,3.413,2,2
the tagline,3.413,2,2
kill bill,3.413,2,2
conveyed through,3.413,2,2
for the opening,3.413,2,2
or give,3.413,2,2
on path,3.413,2,2
poncho,3.413,2,2
you you re,3.413,2,2
your lover,3.413,2,2
drug trade,3.413,3,2
earth so,3.413,2,2
flitting,3.413,3,2
he runs into,3.413,2,2
respects the,3.413,2,2
understand this movie,3.413,3,2
revenge is,3.363,4,4
bluntly,3.363,5,4
hoon,3.363,4,4
stylization,3.319,3,3
genre this,3.319,4,3
the unbearable,3.319,3,3
out to find,3.319,3,3
vengeance and,3.319,3,3
an unnecessary,3.319,4,3
your fucking,3.319,3,3
psychopaths,3.319,3,3
to get my,3.272,4,4
the most brutal,3.272,4,4
recruited by,3.246,2,2
during the 90s,3.246,3,2
would be one,3.246,4,2
most charming,3.246,2,2
his life for,3.246,2,2
lune,3.246,2,2
behind enemy lines,3.246,3,2
sexual harassment,3.246,2,2
once it's,3.246,2,2
rape of,3.246,2,2
for 15 years,3.246,3,2
the from,3.246,2,2
been shot,3.246,2,2
sexualized,3.246,2,2
and enthralling,3.246,2,2
hour mark,3.246,2,2
dude in,3.246,2,2
on ordinary,3.246,2,2
film centers,3.246,2,2
prosecute,3.246,2,2
behind enemy,3.246,3,2
ll kill,3.246,2,2
agent is,3.246,3,2
solidifies,3.246,2,2
at that moment,3.246,2,2
you can think,3.246,2,2
the feet,3.246,2,2
shattered when,3.246,2,2
this is horror,3.246,2,2
fiction as,3.246,3,2
in his hands,3.246,2,2
is attacked,3.246,2,2
that opens with,3.246,2,2
riddles,3.246,3,2
lid,3.246,2,2
life crisis,3.246,2,2
say one of,3.246,2,2
hotel where,3.246,2,2
job at the,3.246,2,2
drama crime action,3.246,3,2
hain,3.246,2,2
that lady,3.246,2,2
thriller animation,3.246,2,2
well made film,3.246,2,2
